Type,Name,Parent,PosX,PosY,PosZ,RotXX,RotYX,RotZX,RotXY,RotYY,RotZY,RotXZ,RotYZ,RotZZ,Radius,Height,SizeX,SizeY,SizeZ,Filename,Scale,Red,Green,Blue
CustomItem,elx_board-1,,0.379826431108414,-0.235989465558122,0.035,-0.858501269682957,-0.512811437033878,-3.76781353264269E-16,0.512811437033878,-0.858501269682957,4.50671127024163E-16,-7.2804106094792E-16,2.47510509013555E-16,1,,,,,,,,,,
Mesh,,elx_board-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_board.STL,0.001,0.286274509803922,0.662745098039216,0.329411764705882
TaskRegion,Pick Task Frame,elx_board-1,0,0,0.00254,0,1,0,-1,0,0,0,0,1,,,,,,,,,,
CustomItem,elx_housing-1,,0.259771841598134,-0.374110351097699,0.035,-0.266395387832212,-0.963863837552652,4.38877607446698E-16,0.963863837552652,-0.266395387832212,5.02324334335192E-16,-3.67257290141764E-16,5.56835140792282E-16,1,,,,,,,,,,
Mesh,,elx_housing-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_housing.STL,0.001,1,1,1
TaskRegion,Pick Task Frame,elx_housing-1,0,0,0.0254,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_board-1,,0.36397,1.66533453693773E-16,2.15900000000002E-02,-1,4.23272528138338E-16,1.38023143841163E-15,-4.23272528138337E-16,-1,3.44245395980753E-16,1.38023143841163E-15,3.44245395980752E-16,1,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_board-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_board.STL,0.001,0.286274509803922,0.662745098039216,0.329411764705882
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_board-1,0,0,0.00254,0,1,0,-1,0,0,0,0,1,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_housing-1,,0.35,1.66533453693773E-16,8.89000000000017E-03,3.88578058618805E-16,-1,5.39035480283364E-16,1,2.42861286636753E-16,-1.0260480507098E-15,1.0145971768499E-15,2.993779303474E-16,1,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_housing-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_housing.STL,0.001,1,1,1
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_housing-1,0,0,0.0254,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_battery-1,,0.28523,1.11022302462516E-16,1.39700000000002E-02,4.44089209850063E-16,-1,6.25226361847426E-16,1.26630349058733E-15,3.85568811911463E-16,1,-1,-2.98372437868011E-16,1.27775436444723E-15,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_battery-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_battery.STL,0.001,1,0.937254901960784,0.137254901960784
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_battery-1,0,0.02032,0,1,0,0,0,0,-1,-0,1,-0,,,,,,,,,,
CustomItem,elx_battery-1,,0.262707876787734,-0.255809033279946,0.035,0.885002373932493,-0.465586509828037,1.34664430504978E-15,-1.25748808887085E-15,5.60765286079001E-16,1,-0.465586509828037,-0.885002373932493,-7.31797996607736E-17,,,,,,,,,,
Mesh,,elx_battery-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_battery.STL,0.001,1,0.937254901960784,0.137254901960784
TaskRegion,Pick Task Frame,elx_battery-1,0,0.02032,0,1,0,0,0,0,-1,-0,1,-0,,,,,,,,,,
CustomItem,elx_tray-1,,0.35,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_tray-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,package://elx_assy/elx_tray.STL,0.001,0.843137254901961,0.815686274509804,0.752941176470588
TaskRegion,Fiducial Task 1,elx_tray-1,-4.68999999999999E-02,0.07103,0.01605,1,0,0,0,1,0,0,0,1,,,,,,,,,,
TaskRegion,Fiducial Task 2,elx_tray-1,-4.68999999999999E-02,-0.07103,0.01605,1,0,0,0,1,0,0,0,1,,,,,,,,,,
TaskRegion,Fiducial Task 3,elx_tray-1,0.0469,-0.07103,0.01605,1,0,0,0,1,0,0,0,1,,,,,,,,,,
TaskRegion,Fiducial Task 4,elx_tray-1,0.0469,0.07103,0.01605,1,0,0,0,1,0,0,0,1,,,,,,,,,,
